village_name,location_code,area_ha,population,households,primary_school,middle_school,secondary_school,senior_secondary_school,chc,phc,phs,hospital_allopathic,dispensary,medicine_shop,tap_water,well_water,hand_pump,tube_well,river_canal,pond_lake,community_toilet_bath,community_toilet,mobile_coverage,internet_csc,bus_service,railway_station,auto,taxi,national_highway,state_highway,major_district_road,other_district_road,pucca_roads,kutcha_roads,footpaths,bank,atm,agricultural_credit_society,pds_shop,icds,anganwadi,asha,electricity_domestic,electricity_agricultural,electricity_commercial,electricity_all_uses,forest_ha,non_agricultural_ha,barren_uncultivable_ha,pasture_ha,culturable_waste_ha,fallow_ha,current_fallow_ha,net_area_sown_ha,irrigated_ha,unirrigated_ha,primary_school_score,middle_school_score,secondary_school_score,senior_secondary_school_score,phs_score,phc_score,hospital_allopathic_score,tap_water_score,tube_well_score,mobile_coverage_score,internet_csc_score,bus_service_score,pucca_roads_score,bank_score,pds_shop_score,anganwadi_score,asha_score,electricity_all_uses_score,amenity_score,space_per_person,capacity_score,railway_station_score,auto_score,taxi_score,national_highway_score,state_highway_score,major_district_road_score,other_district_road_score,footpaths_score,accessibility_score,non_agri_ratio,barren_ratio,forest_ratio,usable_land_ratio,environment_raw,environment_score,relocation_score,relocation_score_100,rank,slope_mean,censuscode2011_x,flood_risk,flood_class,censuscode2011_y,landslide_risk,slope_risk,safety_score,final_relocation_score,final_relocation_score_100,final_rank,hub_distance_km
Nogachuk Pather Gaon,291198,55.2,99,17,1,a,,a,,1.0,,,,0.0,No,No,No,Yes,No,No,No,No,Yes,c,a,c,a,a,c,c,c,c,b,a,Yes,b,c,c,Yes,c,Yes,c,Yes,No,No,No,0.0,3.3,0.0,0.0,6.7,0.0,0.0,41.8,0.0,41.8,1.0,0.75,0.0,0.75,0.0,1.0,0.0,0.0,1.0,1.0,0.25,0.75,0.5,0.5,1.0,1.0,0.25,0.0,0.5416666666666666,0.5575757575757576,0.2417598170554806,0.25,0.75,0.75,0.25,0.25,0.25,0.25,1.0,0.5,0.0597826086956521,0.0,0.0,0.1213768115942029,0.5606884057971014,0.4586461674970992,0.4375858544299567,43.75858544299567,1029,1.0,291198,0.0,Not listed,291198.0,0.166,0.01168096759824,0.947863806480352,0.6083824019805759,60.83824019805759,266,24.405
Charaihabi Gaon No.3,291740,105.0,117,20,1,a,,c,,,1.0,,,0.0,No,No,Yes,Yes,No,No,No,No,Yes,c,Yes,c,b,Yes,b,c,Yes,Yes,a,Yes,Yes,b,c,c,Yes,Yes,Yes,a,Yes,No,No,No,0.0,11.0,7.0,0.0,1.1,0.7,0.0,81.7,0.0,81.7,1.0,0.75,0.0,0.25,1.0,0.0,0.0,0.0,1.0,1.0,0.25,1.0,0.75,0.5,1.0,1.0,0.75,0.0,0.5694444444444444,0.8974358974358975,0.2497985588655759,0.25,0.5,1.0,0.5,0.25,1.0,1.0,1.0,0.725,0.1047619047619047,0.0666666666666666,0.0,0.0171428571428571,0.4885714285714285,0.3669432608208118,0.4956994029916675,49.569940299166745,538,1.0,291740,0.0,Not listed,291740.0,0.379,0.108582789265646,0.8645834421468708,0.6083245056982641,60.83245056982641,267,18.608
Chari Banhi Gaon,291195,344.2,290,63,1,a,a,b,,,,,,1.0,No,No,Yes,No,No,Yes,No,Yes,Yes,c,a,c,b,c,c,c,c,Yes,a,Yes,Yes,a,c,b,Yes,c,Yes,c,Yes,No,No,No,0.0,89.5,0.0,0.0,23.1,7.1,0.0,212.3,0.0,212.3,1.0,0.75,0.75,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.25,0.75,0.75,0.75,1.0,1.0,0.25,0.0,0.4861111111111111,1.186896551724138,0.2566451972061651,0.25,0.5,0.25,0.25,0.25,0.25,1.0,1.0,0.525,0.2600232423009878,0.0,0.0,0.0877396862289366,0.5438698431144684,0.4372599260953209,0.4306410622983831,43.06410622983832,1073,1.0,291195,0.0,Not listed,291195.0,0.116,0.160664748387096,0.9330670503225807,0.6079771083448716,60.79771083448716,268,28.876
Jokai 36 Gharia Gaon F.V.,291244,57.6,693,135,1,a,a,c,,,,,,1.0,No,Yes,Yes,Yes,No,No,No,Yes,Yes,c,Yes,c,b,b,b,b,Yes,Yes,b,Yes,Yes,a,c,c,a,c,Yes,Yes,Yes,No,No,No,0.0,9.6,0.0,0.0,0.0,0.0,0.0,48.0,0.0,48.0,1.0,0.75,0.75,0.25,0.0,0.0,0.0,0.0,1.0,1.0,0.25,1.0,0.5,0.75,0.75,1.0,1.0,0.0,0.5555555555555556,0.0831168831168831,0.1733945423827158,0.25,0.5,0.5,0.5,0.5,1.0,1.0,1.0,0.675,0.1666666666666666,0.0,0.0,0.0,0.5,0.3814756671899529,0.4610326579225585,46.10326579225585,852,1.0,291244,0.0,Not listed,291244.0,0.2,0.0470138018662012,0.9305972396267598,0.6078088815248758,60.78088815248758,269,20.555
Dighalia Block,291907,16.6,276,59,1,a,b,b,,,,,,0.0,No,Yes,Yes,Yes,No,No,No,No,Yes,b,b,b,b,b,b,a,b,Yes,b,Yes,Yes,a,b,c,Yes,b,Yes,a,Yes,No,No,No,0.0,3.0,2.0,0.0,0.0,0.0,0.0,3.5,0.0,3.5,1.0,0.75,0.5,0.5,0.0,0.0,0.0,0.0,1.0,1.0,0.5,0.5,0.5,0.75,1.0,1.0,0.75,0.0,0.5416666666666666,0.0601449275362318,0.2299940418377257,0.5,0.5,0.5,0.5,0.75,0.5,1.0,1.0,0.625,0.180722891566265,0.1204819277108433,0.0,0.0,0.463855421686747,0.3355147434321273,0.4475181258125235,44.75181258125235,957,1.0,291907,0.0,Very Low (1-4),291907.0,0.161,0.0719572950424101,0.937308540991518,0.6077491383708578,60.774913837085776,270,32.871
Chowdang Gaon,291659,224.0,1941,407,2,2,1,b,,,1.0,,,1.0,Yes,Yes,Yes,No,No,Yes,No,No,Yes,a,Yes,a,Yes,Yes,c,a,Yes,Yes,Yes,Yes,Yes,b,c,b,a,Yes,Yes,Yes,Yes,No,No,No,0.0,42.0,0.0,6.2,0.0,0.0,0.0,90.0,0.0,90.0,1.0,1.0,1.0,0.5,1.0,0.0,0.0,1.0,0.0,1.0,0.75,1.0,1.0,0.5,0.75,1.0,1.0,0.0,0.6944444444444444,0.1154044307058217,0.2884439568742132,0.75,1.0,1.0,0.25,0.75,1.0,1.0,1.0,0.875,0.1875,0.0,0.0,0.0,0.5,0.3814756671899529,0.584517233767655,58.4517233767655,71,1.0,291659,0.0,Not listed,291659.0,0.676,0.200396836795642,0.7571206326408716,0.6071805923533949,60.718059235339496,271,29.74
Rawomari Gaon,291117,274.4,1300,249,2,2,b,b,,,,,,1.0,Yes,Yes,Yes,Yes,No,No,No,No,Yes,b,Yes,b,b,b,b,b,b,Yes,b,Yes,Yes,b,b,b,Yes,b,Yes,Yes,Yes,No,Yes,No,0.0,175.6,0.0,0.0,0.0,0.0,0.0,95.4,0.0,95.4,1.0,1.0,0.5,0.5,0.0,0.0,0.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,1.0,1.0,1.0,0.0,0.6388888888888888,0.211076923076923,0.2907069067594692,0.5,0.5,0.5,0.5,0.5,0.5,1.0,1.0,0.65,0.6399416909620992,0.0,0.0,0.0,0.5,0.3814756671899529,0.5036940823500802,50.36940823500802,468,1.0,291117,0.0,Not listed,291117.0,0.357,0.124304870777082,0.8680390258445836,0.6071136871061936,60.71136871061936,272,9.308
Filnuguri Grant 4/152,291270,478.0,5912,1158,4,1,a,b,,,,,,1.0,Yes,Yes,Yes,No,No,No,No,Yes,Yes,b,Yes,b,b,b,b,b,b,Yes,Yes,Yes,Yes,Yes,b,b,Yes,b,a,Yes,Yes,No,No,No,0.0,80.0,0.0,0.0,1.0,10.0,5.0,370.0,0.0,370.0,1.0,1.0,0.75,0.5,0.0,0.0,0.0,1.0,0.0,1.0,0.5,1.0,1.0,1.0,1.0,0.75,1.0,0.0,0.6388888888888888,0.0808525033829499,0.3447695542380799,0.5,0.5,0.5,0.5,0.5,0.5,1.0,1.0,0.7,0.1673640167364016,0.0,0.0,0.0334728033472803,0.5167364016736402,0.4027574338393228,0.5364660975496067,53.64660975496067,244,0.995477386942161,291270,0.0,Not listed,291270.0,0.596,0.0996635562776699,0.8012672887444661,0.6071129191332048,60.71129191332047,273,8.385
Kachomari Deori Gaon,291225,107.2,162,28,1,a,c,c,,,,,,1.0,Yes,No,No,Yes,No,No,No,Yes,Yes,c,Yes,c,c,Yes,a,c,c,Yes,a,Yes,Yes,b,c,b,Yes,c,Yes,a,Yes,No,No,No,0.0,6.7,0.0,0.0,3.4,0.0,0.0,22.3,0.0,22.3,1.0,0.75,0.25,0.25,0.0,0.0,0.0,1.0,1.0,1.0,0.25,1.0,0.75,0.5,1.0,1.0,0.75,0.0,0.5833333333333334,0.6617283950617284,0.3013662057026052,0.25,0.25,1.0,0.75,0.25,0.25,1.0,1.0,0.65,0.0625,0.0,0.0,0.0317164179104477,0.5158582089552239,0.4016407366620587,0.4965030320913964,49.65030320913964,530,1.0,291225,0.0,Not listed,291225.0,0.382,0.158501254829357,0.8536997490341286,0.6070675615386116,60.70675615386117,274,15.282
Phatikasua Ikrani,291897,133.2,587,120,1,a,b,b,,,1.0,,,0.0,Yes,Yes,Yes,Yes,No,No,No,No,Yes,b,b,b,b,b,a,a,a,Yes,a,Yes,Yes,a,b,c,Yes,a,a,Yes,Yes,No,No,No,0.0,14.5,7.1,0.0,0.1,1.7,0.0,40.2,0.0,40.2,1.0,0.75,0.5,0.5,1.0,0.0,0.0,1.0,1.0,1.0,0.5,0.5,0.75,0.75,1.0,0.75,1.0,0.0,0.6666666666666666,0.2269165247018739,0.2339387051083979,0.5,0.5,0.5,0.75,0.75,0.75,1.0,1.0,0.7,0.1088588588588588,0.0533033033033033,0.0,0.0135135135135135,0.4907657657657657,0.3697335483049769,0.5090980526047615,50.90980526047615,421,1.0,291897,0.0,Not listed,291897.0,0.246,0.218301043777783,0.8825397912444434,0.6069606250206234,60.69606250206234,275,28.846
Samuguri,291896,64.5,237,48,1,a,a,b,,,,,,0.0,No,No,Yes,Yes,No,No,No,No,Yes,c,b,b,b,b,b,a,a,Yes,a,Yes,Yes,b,b,c,Yes,a,Yes,a,Yes,No,No,No,0.0,2.9,3.1,0.0,0.0,2.0,1.1,32.2,0.0,32.2,1.0,0.75,0.75,0.5,0.0,0.0,0.0,0.0,1.0,1.0,0.25,0.5,0.75,0.5,1.0,1.0,0.75,0.0,0.5416666666666666,0.2721518987341772,0.2350086613929991,0.5,0.5,0.5,0.5,0.75,0.75,1.0,1.0,0.675,0.0449612403100775,0.0480620155038759,0.0,0.0480620155038759,0.5096124031007752,0.3936986601438428,0.475408564043685,47.540856404368505,726,1.0,291896,0.0,Not listed,291896.0,0.259,0.186880742732008,0.8849238514535984,0.6067765049512656,60.67765049512656,276,28.952
Domordalang,291895,125.6,550,115,1,1,1,b,,,1.0,,,1.0,Yes,Yes,Yes,Yes,No,No,No,No,Yes,b,b,c,b,b,b,a,a,Yes,b,Yes,Yes,b,b,c,Yes,Yes,Yes,Yes,Yes,No,No,No,0.0,12.7,11.0,22.9,0.0,3.1,2.2,50.5,0.0,50.5,1.0,1.0,1.0,0.5,1.0,0.0,0.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5,1.0,1.0,1.0,0.0,0.6944444444444444,0.2283636363636363,0.2911157909107975,0.25,0.5,0.5,0.5,0.75,0.75,1.0,1.0,0.625,0.1011146496815286,0.0875796178343949,0.0,0.0421974522292993,0.4948248407643312,0.3748950094491496,0.5088690607286404,50.88690607286404,424,1.0,291895,0.0,Not listed,291895.0,0.285,0.168172996312443,0.8808654007375114,0.6063593594400765,60.63593594400765,277,27.785
Madhakoli Grant No.128,291799,86.1,209,42,a,c,a,a,,,,,,0.0,No,Yes,Yes,Yes,No,No,No,No,Yes,b,a,b,b,Yes,a,a,a,Yes,b,Yes,Yes,b,b,c,Yes,b,a,a,Yes,No,No,No,0.0,5.3,2.2,0.0,0.4,0.4,0.5,5.2,0.0,5.2,0.75,0.25,0.75,0.75,0.0,0.0,0.0,0.0,1.0,1.0,0.5,0.75,0.5,0.5,1.0,0.75,0.75,0.0,0.5138888888888888,0.4119617224880382,0.1240298811776784,0.5,0.5,1.0,0.75,0.75,0.75,1.0,1.0,0.75,0.0615563298490127,0.0255516840882694,0.0,0.0150987224157955,0.4998838559814169,0.3813279801333559,0.460745288543313,46.074528854331305,855,1.0,291799,0.0,Not listed,291799.0,0.214,0.0772705515036508,0.92034588969927,0.606345023194131,60.634502319413095,278,27.338
Joypur Town,292341,129.3,2491,520,6,2,1,1,,1.0,,,1.0,2.0,Yes,No,Yes,Yes,No,No,No,No,Yes,b,Yes,b,Yes,Yes,c,b,Yes,Yes,Yes,Yes,Yes,Yes,b,c,Yes,Yes,Yes,Yes,Yes,No,No,No,9.0,120.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.8055555555555556,0.0519068647129666,0.4012277576410425,0.5,1.0,1.0,0.25,0.5,1.0,1.0,1.0,0.825,0.9303944315545244,0.0,0.0696055684454756,0.0,0.4860788863109049,0.3637737800813704,0.6219505843154236,62.19505843154237,22,1.0,292341,0.0,Very Low (1-4),292341.0,0.832,0.173364345802117,0.7157271308395766,0.6061638587582969,60.61638587582969,279,53.328
Silputa No.3,291790,20.7,189,48,1,a,a,b,,,,,,0.0,No,No,Yes,No,No,No,No,No,c,c,c,c,b,b,b,Yes,a,Yes,b,Yes,Yes,c,c,c,Yes,a,Yes,b,Yes,No,No,No,0.0,9.2,0.5,0.0,0.5,0.5,0.5,7.8,0.0,7.8,1.0,0.75,0.75,0.5,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.25,0.5,0.25,1.0,1.0,0.5,0.0,0.3888888888888889,0.1095238095238095,0.2311620048807959,0.25,0.5,0.5,0.5,1.0,0.75,1.0,1.0,0.625,0.4444444444444444,0.0241545893719806,0.0,0.072463768115942,0.5289855072463768,0.4183332195754556,0.4261793673575124,42.61793673575124,1102,1.0,291790,0.0,Not listed,291790.0,0.15,0.268533694789948,0.9012932610420104,0.6060577885733214,60.60577885733214,280,27.788
Phatikasua Borbam,291898,169.2,733,151,1,a,b,b,,,,,,0.0,No,Yes,Yes,Yes,No,No,No,No,Yes,b,b,b,b,b,a,a,a,Yes,a,Yes,Yes,a,b,c,a,a,Yes,Yes,Yes,No,No,No,0.0,54.8,2.0,0.0,7.8,2.0,0.0,74.6,0.0,74.6,1.0,0.75,0.5,0.5,0.0,0.0,0.0,0.0,1.0,1.0,0.5,0.5,0.75,0.75,0.75,1.0,1.0,0.0,0.5555555555555556,0.2308321964529331,0.1768884656942124,0.5,0.5,0.5,0.75,0.75,0.75,1.0,1.0,0.7,0.3238770685579196,0.0118203309692671,0.0,0.0579196217494089,0.5254137115839244,0.4137913757974549,0.475869280471933,47.5869280471933,722,1.0,291898,0.0,Not listed,291898.0,0.227,0.171361666792109,0.8976276666415782,0.6053418894498027,60.53418894498027,281,28.864
Chiring Hula No.2,291335,147.2,925,190,1,1,a,a,,,,,,1.0,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,c,Yes,b,Yes,Yes,b,b,b,Yes,a,Yes,Yes,c,c,c,Yes,c,Yes,Yes,Yes,No,No,No,0.0,25.9,0.0,0.0,0.8,3.2,2.2,95.2,0.0,95.2,1.0,1.0,0.75,0.75,0.0,0.0,0.0,1.0,1.0,1.0,0.25,1.0,0.75,0.25,1.0,1.0,1.0,0.0,0.6527777777777778,0.1591351351351351,0.2894783230762206,0.5,1.0,1.0,0.5,0.5,0.5,1.0,1.0,0.775,0.1759510869565217,0.0,0.0,0.0421195652173913,0.5210597826086957,0.4082549825950448,0.5497150217325085,54.971502173250855,180,1.0,291335,0.0,Not listed,291335.0,0.578,0.178542115259728,0.7908915769480545,0.6049644589375338,60.49644589375338,282,17.671
Hatkhula Gaon,291308,223.0,1355,290,1,a,a,a,,,1.0,,,1.0,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,c,Yes,b,Yes,Yes,b,b,b,Yes,a,Yes,Yes,c,c,c,Yes,c,Yes,Yes,Yes,No,No,No,0.0,27.0,0.0,9.8,2.0,5.0,4.0,165.2,0.0,165.2,1.0,0.75,0.75,0.75,1.0,0.0,0.0,1.0,1.0,1.0,0.25,1.0,0.75,0.25,1.0,1.0,1.0,0.0,0.6944444444444444,0.1645756457564575,0.2896070079529405,0.5,1.0,1.0,0.5,0.5,0.5,1.0,1.0,0.775,0.1210762331838565,0.0,0.0,0.0493273542600896,0.5246636771300448,0.4128376428184243,0.5610803916630311,56.10803916630312,136,1.0,291308,0.0,Not listed,291308.0,0.603,0.152106566449514,0.7886786867100972,0.6047988730950377,60.479887309503766,283,14.445
Dikom Sessa 15/154 Orr,291321,480.6,2607,563,1,2,1,1,,,1.0,,,1.0,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,c,Yes,b,Yes,Yes,b,b,b,Yes,Yes,Yes,Yes,c,c,c,a,c,Yes,Yes,Yes,No,No,No,0.0,223.7,0.0,0.0,5.6,0.0,10.0,217.6,0.0,217.6,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.25,1.0,1.0,0.25,0.75,1.0,1.0,0.0,0.7361111111111112,0.1843498273878021,0.2900747284120261,0.5,1.0,1.0,0.5,0.5,0.5,1.0,1.0,0.8,0.4654598418643362,0.0,0.0,0.0324594257178526,0.5162297128589264,0.4021131356604873,0.5769690870128819,57.69690870128819,84,1.0,291321,0.0,Not listed,291321.0,0.632,0.153101108234429,0.7797797783531142,0.6047475637933254,60.47475637933254,284,18.761
Agni Pothar Gaon,291313,219.0,860,171,1,a,a,a,,,,,,1.0,No,Yes,Yes,Yes,No,No,No,Yes,Yes,c,a,a,a,a,a,a,a,Yes,a,Yes,Yes,c,c,c,Yes,c,Yes,Yes,Yes,No,No,No,0.0,20.0,0.0,3.0,4.0,0.0,2.0,182.8,0.0,182.8,1.0,0.75,0.75,0.75,0.0,0.0,0.0,0.0,1.0,1.0,0.25,0.75,0.75,0.25,1.0,1.0,1.0,0.0,0.5694444444444444,0.2546511627906976,0.2345947149449273,0.75,0.75,0.75,0.75,0.75,0.75,1.0,1.0,0.8,0.091324200913242,0.0,0.0,0.0273972602739726,0.5136986301369864,0.3988946474269371,0.5207887193327304,52.07887193327304,336,1.0,291313,0.0,Not listed,291313.0,0.539,0.113949134090419,0.8155101731819162,0.604686945123039,60.4686945123039,285,11.229
Dowania Gaon No.1,292409,273.5,1729,358,1,2,1,a,,,,,,1.0,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,b,Yes,Yes,b,b,Yes,Yes,Yes,Yes,Yes,c,b,c,a,Yes,Yes,Yes,Yes,No,No,No,0.0,91.4,0.0,2.7,0.0,0.0,0.0,160.7,0.0,160.7,1.0,1.0,1.0,0.75,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,0.75,1.0,1.0,0.0,0.7083333333333334,0.158183921341816,0.2894558239326204,0.5,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.85,0.3341864716636197,0.0,0.0,0.0,0.5,0.3814756671899529,0.5807424227544791,58.07424227544791,79,1.0,292409,0.0,Not listed,292409.0,0.734,0.0888783933077023,0.7620243213384595,0.6043950345970319,60.43950345970319,286,53.407
Dibrual Changmai,291303,104.2,1300,300,1,a,1,1,,,,,,1.0,Yes,Yes,Yes,Yes,No,No,No,No,Yes,c,a,a,Yes,Yes,a,a,a,Yes,b,Yes,Yes,b,c,b,Yes,c,a,Yes,Yes,No,No,No,0.0,25.1,0.0,0.0,0.0,0.0,0.0,69.0,0.0,69.0,1.0,0.75,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.25,0.75,0.5,0.5,1.0,0.75,1.0,0.0,0.6388888888888888,0.0801538461538461,0.2304673145514144,0.75,1.0,1.0,0.75,0.75,0.75,1.0,1.0,0.825,0.2408829174664107,0.0,0.0,0.0,0.5,0.3814756671899529,0.5411341842980664,54.11341842980664,223,1.0,291303,0.0,Not listed,291303.0,0.545,0.126002576745159,0.8112994846509682,0.6043579725767338,60.435797257673386,287,9.135
Borkula (Naohalia No.2 Borkula,291572,86.7,507,103,1,a,a,a,,,,,,0.0,No,No,Yes,Yes,No,No,No,No,Yes,a,Yes,a,Yes,Yes,c,c,Yes,Yes,b,Yes,Yes,c,a,c,Yes,c,Yes,Yes,Yes,No,No,No,0.0,30.1,0.0,0.0,0.0,0.0,46.4,0.0,0.0,0.0,1.0,0.75,0.75,0.75,0.0,0.0,0.0,0.0,1.0,1.0,0.75,1.0,0.5,0.25,1.0,1.0,1.0,0.0,0.5972222222222222,0.1710059171597633,0.2326162465857199,0.75,1.0,1.0,0.25,0.25,1.0,1.0,1.0,0.775,0.3471741637831603,0.0,0.0,0.5351787773933102,0.7675893886966552,0.7217384691433136,0.5843073110306483,58.43073110306483,72,1.0,291572,0.0,Not listed,291572.0,0.87,0.158702541575398,0.7072594916849204,0.6043186286918952,60.43186286918952,288,45.723
Borbill Gaon No.1,291233,204.7,644,131,1,a,b,c,,,,,,1.0,No,No,Yes,No,No,No,No,Yes,Yes,c,c,c,Yes,Yes,a,a,a,Yes,a,Yes,Yes,c,c,c,Yes,c,Yes,Yes,Yes,No,No,No,0.0,32.2,0.0,0.0,6.1,0.0,0.0,161.8,0.0,161.8,1.0,0.75,0.5,0.25,0.0,0.0,0.0,0.0,0.0,1.0,0.25,0.25,0.75,0.25,1.0,1.0,1.0,0.0,0.4444444444444444,0.3178571428571428,0.236089731556223,0.25,1.0,1.0,0.75,0.75,0.75,1.0,1.0,0.75,0.1573033707865168,0.0,0.0,0.0297997068881289,0.5148998534440645,0.4004221056353097,0.4752179651272288,47.52179651272288,727,1.0,291233,0.0,Not listed,291233.0,0.428,0.167650926034949,0.8380698147930102,0.6043136746515564,60.43136746515564,289,14.827
Tingkhong Gaon,291085,331.7,1358,255,2,2,a,a,,,1.0,,,1.0,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,b,b,b,Yes,b,a,a,a,Yes,b,Yes,Yes,a,a,a,a,b,Yes,Yes,Yes,No,No,No,0.0,115.0,0.0,0.0,4.1,8.0,0.0,195.0,0.0,195.0,1.0,1.0,0.75,0.75,1.0,0.0,0.0,1.0,1.0,1.0,0.5,0.5,0.5,0.75,0.75,1.0,1.0,0.0,0.6944444444444444,0.2442562592047128,0.2343488433752194,0.5,1.0,0.5,0.75,0.75,0.75,1.0,1.0,0.725,0.3466988242387699,0.0,0.0,0.0364787458546879,0.518239372927344,0.4046685903785693,0.5306320400306299,53.06320400306299,272,0.833576642611311,291085,0.0,Not listed,291085.0,0.402,0.147857072363452,0.8498285855273096,0.604218933611514,60.421893361151405,290,6.013
Mudai Gaon,291423,271.0,1611,312,2,2,b,c,,,,,,1.0,No,No,Yes,Yes,No,No,No,No,Yes,b,Yes,b,Yes,Yes,a,a,Yes,Yes,Yes,Yes,Yes,c,b,c,Yes,a,Yes,Yes,Yes,No,No,Yes,0.0,12.1,9.7,12.2,37.1,0.0,0.0,160.0,0.0,160.0,1.0,1.0,0.5,0.25,0.0,0.0,0.0,0.0,1.0,1.0,0.5,1.0,1.0,0.25,1.0,1.0,1.0,1.0,0.6388888888888888,0.1682184978274363,0.2896931726536995,0.5,1.0,1.0,0.75,0.75,1.0,1.0,1.0,0.9,0.0446494464944649,0.0357933579335793,0.0,0.13690036900369,0.5577121771217712,0.4548616380983277,0.5931178430053127,59.31178430053127,56,1.0,291423,0.0,Not listed,291423.0,0.856,0.171843111988266,0.7088313776023468,0.6041850899191128,60.41850899191128,291,30.27
Metekani Gaon,291128,93.2,835,167,1,b,b,b,,,,,,1.0,No,Yes,Yes,No,No,No,No,No,c,c,a,c,a,a,a,a,a,Yes,b,Yes,Yes,a,b,b,Yes,c,Yes,Yes,No,No,No,No,0.0,3.5,0.0,0.0,0.0,1.5,0.2,87.2,0.0,87.2,1.0,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.75,0.5,0.75,1.0,1.0,1.0,0.0,0.4444444444444444,0.1116167664670658,0.1740686526327858,0.25,0.75,0.75,0.75,0.75,0.75,1.0,1.0,0.725,0.0375536480686695,0.0,0.0,0.0182403433476394,0.5091201716738197,0.3930727457704772,0.450742823423403,45.074282342340304,937,1.0,291128,0.0,Not listed,291128.0,0.243,0.177604707111261,0.8915790585777478,0.6041096984548672,60.41096984548672,292,18.809
Moud T.E.,291466,355.2,510,99,1,a,a,b,,,,,,0.0,No,No,Yes,No,No,No,No,No,Yes,c,Yes,b,b,b,a,a,Yes,Yes,b,Yes,Yes,b,b,c,a,c,Yes,Yes,Yes,No,No,No,0.0,50.0,0.0,0.0,201.0,0.0,0.0,104.2,0.0,104.2,1.0,0.75,0.75,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.25,1.0,0.5,0.5,0.75,1.0,1.0,0.0,0.5,0.6964705882352941,0.1879022515707991,0.5,0.5,0.5,0.75,0.75,1.0,1.0,1.0,0.75,0.1407657657657657,0.0,0.0,0.5658783783783784,0.7829391891891893,0.741257053757054,0.5452269736441105,54.52269736441105,199,1.0,291466,0.0,Not listed,291466.0,0.787,0.12024091493436,0.739851817013128,0.6041048477615091,60.41048477615091,293,30.602
Mohanbari 31/160 Orr,291297,302.9,2094,415,3,a,b,b,,,,,,1.0,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,c,a,a,Yes,a,a,a,a,Yes,a,Yes,Yes,c,a,c,Yes,c,a,Yes,Yes,Yes,No,No,0.0,135.8,0.0,0.0,7.0,0.0,9.0,131.0,0.0,131.0,1.0,0.75,0.5,0.5,0.0,0.0,0.0,1.0,1.0,1.0,0.25,0.75,0.75,0.25,1.0,0.75,1.0,0.0,0.5833333333333334,0.1446513849092645,0.2319928805140918,0.75,1.0,0.75,0.75,0.75,0.75,1.0,1.0,0.825,0.4483327830967317,0.0,0.0,0.0528227137669197,0.5264113568834599,0.4150599671516523,0.5343435468921868,53.43435468921868,253,1.0,291297,0.0,Not listed,291297.0,0.611,0.0993116828296664,0.7968376634340667,0.6039922805748975,60.39922805748975,294,12.346
Borbil Khaliamari Gaon,291715,29.0,410,90,2,,b,b,,,,,,0.0,Yes,No,Yes,Yes,No,No,No,No,Yes,c,b,c,b,b,b,b,b,Yes,b,Yes,Yes,a,b,b,Yes,a,Yes,a,Yes,No,No,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,29.0,1.0,0.0,0.5,0.5,0.0,0.0,0.0,1.0,1.0,1.0,0.25,0.5,0.5,0.75,1.0,1.0,0.75,0.0,0.5416666666666666,0.0707317073170731,0.287387309014821,0.25,0.5,0.5,0.5,0.5,0.5,1.0,1.0,0.575,0.0,0.0,0.0,0.0,0.5,0.3814756671899529,0.4560586273583625,45.60586273583625,892,0.987323943682959,291715,0.0,Not listed,291715.0,0.249,0.13155961901633,0.8989880761967339,0.6036634078108918,60.36634078108918,295,21.805
